text,label
ราคา Apple Watch Series 9 เท่าไหร่?,Product Inquiry
โปรโมชั่นสำหรับ Fitbit Charge 6 คืออะไร?,Product Inquiry
Samsung Galaxy S23 เหลืออยู่กี่ชิ้นครับ?,Product Inquiry
ลดราคาสินค้า Samsung Galaxy S23 ถึงเมื่อไหร่?,Product Inquiry
สนใจ iPhone 14 อยากทราบรายละเอียดครับ,Product Inquiry
ลดราคาสินค้า Fitbit Charge 6 ถึงเมื่อไหร่?,Product Inquiry
มี ASUS ROG Strix อยู่ไหมคะ?,Product Inquiry
Please tell me more about PlayStation 5.,Product Inquiry
มี Nikon D850 อยู่ไหมคะ?,Product Inquiry
ขอรายละเอียดเพิ่มเติมเกี่ยวกับ Bose SoundLink หน่อยค่ะ,Product Inquiry
มี Samsung QLED TV อยู่ไหมคะ?,Product Inquiry
What's the price of HP Spectre x360?,Product Inquiry
Any promotions on Dell XPS 13?,Product Inquiry
Is the Dell XPS 13 available?,Product Inquiry
ตอนนี้มีลดราคาสินค้า Canon EOS R6 ไหม?,Product Inquiry
มี Fitbit Charge 6 อยู่ไหมคะ?,Product Inquiry
Can I get more info on Apple Watch Series 9?,Product Inquiry
Is the Logitech MX Master 3 available?,Product Inquiry
ASUS ROG Strix ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
What's the price of DJI Mavic Air 2?,Product Inquiry
มีโปรโมชั่นของ Fitbit Charge 6 หรือเปล่าครับ?,Product Inquiry
มี Logitech MX Master 3 อยู่ไหมคะ?,Product Inquiry
Any promotions on Fitbit Charge 6?,Product Inquiry
ราคา MacBook Pro 16 เท่าไหร่?,Product Inquiry
ขอรายละเอียดเพิ่มเติมเกี่ยวกับ DJI Mavic Air 2 หน่อยค่ะ,Product Inquiry
Any promotions on Google Pixel 8?,Product Inquiry
Is there a discount on Lenovo ThinkPad X1?,Product Inquiry
Any promotions on Bose SoundLink?,Product Inquiry
Any promotions on Kindle Paperwhite?,Product Inquiry
HP Spectre x360 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
Samsung Galaxy S23 มีของไหมครับ?,Product Inquiry
Lenovo ThinkPad X1 มีของไหมครับ?,Product Inquiry
ขอรายละเอียดเพิ่มเติมเกี่ยวกับ HP Spectre x360 หน่อยค่ะ,Product Inquiry
มี HP Spectre x360 อยู่ไหมคะ?,Product Inquiry
มี Sony WH-1000XM5 อยู่ไหมคะ?,Product Inquiry
สนใจ HP Spectre x360 อยากทราบรายละเอียดครับ,Product Inquiry
Do you have Canon EOS R6 in stock?,Product Inquiry
ราคา Logitech MX Master 3 เท่าไหร่?,Product Inquiry
Logitech MX Master 3 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
Is the Bose SoundLink available?,Product Inquiry
ลดราคาสินค้า Sony WH-1000XM5 ถึงเมื่อไหร่?,Product Inquiry
What's the price of Fitbit Charge 6?,Product Inquiry
Do you have Samsung Galaxy S23 in stock?,Product Inquiry
Logitech MX Master 3 เหลืออยู่กี่ชิ้นครับ?,Product Inquiry
Do you have Nikon D850 in stock?,Product Inquiry
มีโปรโมชั่นของ iPhone 14 หรือเปล่าครับ?,Product Inquiry
สนใจ Fitbit Charge 6 อยากทราบรายละเอียดครับ,Product Inquiry
Is the Samsung QLED TV available?,Product Inquiry
มีโปรโมชั่นของ Dell XPS 13 หรือเปล่าครับ?,Product Inquiry
Sony WH-1000XM5 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
Can I get more info on Fitbit Charge 6?,Product Inquiry
DJI Mavic Air 2 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
ตอนนี้มีลดราคาสินค้า Google Pixel 8 ไหม?,Product Inquiry
สนใจ Lenovo ThinkPad X1 อยากทราบรายละเอียดครับ,Product Inquiry
Can I get more info on iPhone 14?,Product Inquiry
มีโปรโมชั่นของ ASUS ROG Strix หรือเปล่าครับ?,Product Inquiry
Do you have Xbox Series X in stock?,Product Inquiry
ขอรายละเอียดเพิ่มเติมเกี่ยวกับ Lenovo ThinkPad X1 หน่อยค่ะ,Product Inquiry
ขอรายละเอียดเพิ่มเติมเกี่ยวกับ Samsung Galaxy S23 หน่อยค่ะ,Product Inquiry
ตอนนี้มีลดราคาสินค้า Logitech MX Master 3 ไหม?,Product Inquiry
What's the price of ASUS ROG Strix?,Product Inquiry
Please tell me more about Samsung Galaxy S23.,Product Inquiry
ตอนนี้มีลดราคาสินค้า iPhone 14 ไหม?,Product Inquiry
มีโปรโมชั่นของ Google Pixel 8 หรือเปล่าครับ?,Product Inquiry
สนใจ DJI Mavic Air 2 อยากทราบรายละเอียดครับ,Product Inquiry
โปรโมชั่นสำหรับ HP Spectre x360 คืออะไร?,Product Inquiry
โปรโมชั่นสำหรับ Bose SoundLink คืออะไร?,Product Inquiry
Any promotions on iPhone 14?,Product Inquiry
ตอนนี้มีลดราคาสินค้า Nikon D850 ไหม?,Product Inquiry
What's the price of MacBook Pro 16?,Product Inquiry
สนใจ Samsung QLED TV อยากทราบรายละเอียดครับ,Product Inquiry
Any promotions on HP Spectre x360?,Product Inquiry
PlayStation 5 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
Please tell me more about Logitech MX Master 3.,Product Inquiry
Is the MacBook Pro 16 available?,Product Inquiry
มีโปรโมชั่นของ Canon EOS R6 หรือเปล่าครับ?,Product Inquiry
ราคา DJI Mavic Air 2 เท่าไหร่?,Product Inquiry
สนใจ Canon EOS R6 อยากทราบรายละเอียดครับ,Product Inquiry
มี iPhone 14 อยู่ไหมคะ?,Product Inquiry
Please tell me more about Xbox Series X.,Product Inquiry
Apple Watch Series 9 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
What's the price of Google Pixel 8?,Product Inquiry
Is the Nikon D850 available?,Product Inquiry
ราคา Xbox Series X เท่าไหร่?,Product Inquiry
What's the price of iPhone 14?,Product Inquiry
Can I get more info on DJI Mavic Air 2?,Product Inquiry
Any promotions on Canon EOS R6?,Product Inquiry
Is there a discount on Nikon D850?,Product Inquiry
Can I get more info on Logitech MX Master 3?,Product Inquiry
ราคา Fitbit Charge 6 เท่าไหร่?,Product Inquiry
Do you have Lenovo ThinkPad X1 in stock?,Product Inquiry
Any promotions on Samsung QLED TV?,Product Inquiry
Please tell me more about Google Pixel 8.,Product Inquiry
iPhone 14 เหลืออยู่กี่ชิ้นครับ?,Product Inquiry
มี Samsung Galaxy S23 อยู่ไหมคะ?,Product Inquiry
PlayStation 5 มีของไหมครับ?,Product Inquiry
Any promotions on ASUS ROG Strix?,Product Inquiry
Lenovo ThinkPad X1 เหลืออยู่กี่ชิ้นครับ?,Product Inquiry
โปรโมชั่นสำหรับ Samsung Galaxy S23 คืออะไร?,Product Inquiry
What's the price of Bose SoundLink?,Product Inquiry
Nikon D850 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
iPhone 14 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
Can I get more info on Kindle Paperwhite?,Product Inquiry
Is there a discount on Dell XPS 13?,Product Inquiry
Is there a discount on Canon EOS R6?,Product Inquiry
Nikon D850 มีของไหมครับ?,Product Inquiry
Xbox Series X ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
ลดราคาสินค้า Dell XPS 13 ถึงเมื่อไหร่?,Product Inquiry
สนใจ ASUS ROG Strix อยากทราบรายละเอียดครับ,Product Inquiry
ขอรายละเอียดเพิ่มเติมเกี่ยวกับ Logitech MX Master 3 หน่อยค่ะ,Product Inquiry
Can I get more info on Lenovo ThinkPad X1?,Product Inquiry
ตอนนี้มีลดราคาสินค้า Samsung Galaxy S23 ไหม?,Product Inquiry
Any promotions on Samsung Galaxy S23?,Product Inquiry
มีโปรโมชั่นของ Samsung QLED TV หรือเปล่าครับ?,Product Inquiry
Apple Watch Series 9 มีของไหมครับ?,Product Inquiry
มีโปรโมชั่นของ MacBook Pro 16 หรือเปล่าครับ?,Product Inquiry
Canon EOS R6 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
Is the Xbox Series X available?,Product Inquiry
ตอนนี้มีลดราคาสินค้า Fitbit Charge 6 ไหม?,Product Inquiry
Please tell me more about Apple Watch Series 9.,Product Inquiry
ตอนนี้มีลดราคาสินค้า Dell XPS 13 ไหม?,Product Inquiry
Please tell me more about HP Spectre x360.,Product Inquiry
Do you have Kindle Paperwhite in stock?,Product Inquiry
Can I get more info on Dell XPS 13?,Product Inquiry
Kindle Paperwhite ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
โปรโมชั่นสำหรับ Google Pixel 8 คืออะไร?,Product Inquiry
ASUS ROG Strix มีของไหมครับ?,Product Inquiry
Any promotions on Logitech MX Master 3?,Product Inquiry
ราคา ASUS ROG Strix เท่าไหร่?,Product Inquiry
HP Spectre x360 เหลืออยู่กี่ชิ้นครับ?,Product Inquiry
Any promotions on Xbox Series X?,Product Inquiry
Can I get more info on ASUS ROG Strix?,Product Inquiry
ตอนนี้มีลดราคาสินค้า DJI Mavic Air 2 ไหม?,Product Inquiry
Please tell me more about iPhone 14.,Product Inquiry
Is the Apple Watch Series 9 available?,Product Inquiry
Lenovo ThinkPad X1 ยังมีสินค้าอยู่หรือเปล่า?,Product Inquiry
มี Kindle Paperwhite อยู่ไหมคะ?,Product Inquiry
มีโปรโมชั่นของ Sony WH-1000XM5 หรือเปล่าครับ?,Product Inquiry
Is the PlayStation 5 available?,Product Inquiry
Do you have ASUS ROG Strix in stock?,Product Inquiry
What's the price of Samsung QLED TV?,Product Inquiry
Is the ASUS ROG Strix available?,Product Inquiry
Samsung QLED TV มีของไหมครับ?,Product Inquiry
What's the price of PlayStation 5?,Product Inquiry
สนใจ Google Pixel 8 อยากทราบรายละเอียดครับ,Product Inquiry
มีโปรโมชั่นของ Lenovo ThinkPad X1 หรือเปล่าครับ?,Product Inquiry
ลดราคาสินค้า Kindle Paperwhite ถึงเมื่อไหร่?,Product Inquiry
What's the price of Kindle Paperwhite?,Product Inquiry
สนใจ Nikon D850 อยากทราบรายละเอียดครับ,Product Inquiry
I'd like to know when my order 21586833 will arrive.,Order Management
Can you tell me if order ORD22940906 has been shipped?,Order Management
Can you help me track my order 55579235?,Order Management
ตรวจสอบสถานะคำสั่งซื้อ ORD05756734 ได้ไหมครับ?,Order Management
ช่วยติดตามออเดอร์หมายเลข ORD73242828 ให้หน่อยค่ะ,Order Management
I'd like to know when my order OD47605025 will arrive.,Order Management
ได้รับออเดอร์ 43852779 แล้วหรือยัง?,Order Management
Can you help me track my order OD80215652?,Order Management
ตรวจสอบสถานะคำสั่งซื้อ ORDER03619787 ได้ไหมครับ?,Order Management
ได้รับออเดอร์ ORD69587077 แล้วหรือยัง?,Order Management
I want to check the status of my order #ORDER62353121.,Order Management
สั่งของไปแล้ว รบกวนเช็คเลขที่คำสั่งซื้อ OD60827804 ให้หน่อย,Order Management
I want to check the status of my order #ORD45162715.,Order Management
ช่วยติดตามออเดอร์หมายเลข ORDER27216908 ให้หน่อยค่ะ,Order Management
I want to check the status of my order #OD22940438.,Order Management
สั่งของไปแล้ว รบกวนเช็คเลขที่คำสั่งซื้อ OD17195281 ให้หน่อย,Order Management
ได้รับออเดอร์ ORDER73788638 แล้วหรือยัง?,Order Management
ช่วยติดตามออเดอร์หมายเลข OD42557584 ให้หน่อยค่ะ,Order Management
I want to check the status of my order #ORDER27689844.,Order Management
I'd like to know when my order ORDER56346060 will arrive.,Order Management
Can you tell me if order OD11424877 has been shipped?,Order Management
อยากรู้สถานะของคำสั่งซื้อ ORD92920092,Order Management
Can you help me track my order ORDER46883590?,Order Management
Can you tell me if order 30975345 has been shipped?,Order Management
ได้รับออเดอร์ 99997623 แล้วหรือยัง?,Order Management
I'd like to know when my order ORD87674715 will arrive.,Order Management
ตรวจสอบสถานะคำสั่งซื้อ ORD23208904 ได้ไหมครับ?,Order Management
What's the delivery status of order number 00255758?,Order Management
Can you help me track my order OD62360810?,Order Management
What's the delivery status of order number ORDER71266860?,Order Management
Can you help me track my order ORDER71609754?,Order Management
ได้รับออเดอร์ ORD68436320 แล้วหรือยัง?,Order Management
I'd like to know when my order ORD69804939 will arrive.,Order Management
I want to check the status of my order #ORD75619589.,Order Management
อยากรู้สถานะของคำสั่งซื้อ OD84257996,Order Management
ตรวจสอบสถานะคำสั่งซื้อ 32591103 ได้ไหมครับ?,Order Management
อยากรู้สถานะของคำสั่งซื้อ ORD23196381,Order Management
I want to check the status of my order #ORD39540765.,Order Management
ได้รับออเดอร์ ORDER17574986 แล้วหรือยัง?,Order Management
I'd like to know when my order 96480918 will arrive.,Order Management
ตรวจสอบสถานะคำสั่งซื้อ OD60013587 ได้ไหมครับ?,Order Management
อยากรู้สถานะของคำสั่งซื้อ ORDER76897505,Order Management
ช่วยติดตามออเดอร์หมายเลข 68329888 ให้หน่อยค่ะ,Order Management
I want to check the status of my order #ORDER45842918.,Order Management
ช่วยติดตามออเดอร์หมายเลข OD98629782 ให้หน่อยค่ะ,Order Management
Can you help me track my order ORDER84811207?,Order Management
ได้รับออเดอร์ OD41441021 แล้วหรือยัง?,Order Management
ช่วยติดตามออเดอร์หมายเลข ORDER26778290 ให้หน่อยค่ะ,Order Management
ได้รับออเดอร์ OD92355306 แล้วหรือยัง?,Order Management
What's the delivery status of order number OD72364298?,Order Management
สั่งของไปแล้ว รบกวนเช็คเลขที่คำสั่งซื้อ ORD11022451 ให้หน่อย,Order Management
What's the delivery status of order number OD71442490?,Order Management
I want to check the status of my order #ORD41553120.,Order Management
ตรวจสอบสถานะคำสั่งซื้อ OD63380300 ได้ไหมครับ?,Order Management
Can you tell me if order OD03674353 has been shipped?,Order Management
Can you help me track my order ORDER43346915?,Order Management
Can you tell me if order ORD89617695 has been shipped?,Order Management
อยากรู้สถานะของคำสั่งซื้อ ORD51077458,Order Management
What's the delivery status of order number ORD08291392?,Order Management
Can you help me track my order ORD45774901?,Order Management
ตรวจสอบสถานะคำสั่งซื้อ 82935054 ได้ไหมครับ?,Order Management
Can you tell me if order OD61158440 has been shipped?,Order Management
ได้รับออเดอร์ ORD12361090 แล้วหรือยัง?,Order Management
ได้รับออเดอร์ ORD84896192 แล้วหรือยัง?,Order Management
สั่งของไปแล้ว รบกวนเช็คเลขที่คำสั่งซื้อ OD94760986 ให้หน่อย,Order Management
I'd like to know when my order 32769061 will arrive.,Order Management
ช่วยติดตามออเดอร์หมายเลข 75295252 ให้หน่อยค่ะ,Order Management
ได้รับออเดอร์ ORD03835922 แล้วหรือยัง?,Order Management
Can you help me track my order ORDER95289592?,Order Management
Can you help me track my order OD97580470?,Order Management
ช่วยติดตามออเดอร์หมายเลข ORD30992361 ให้หน่อยค่ะ,Order Management
I want to check the status of my order #57142328.,Order Management
Can you tell me if order 14642467 has been shipped?,Order Management
ตรวจสอบสถานะคำสั่งซื้อ ORDER62140035 ได้ไหมครับ?,Order Management
I'd like to know when my order OD25527213 will arrive.,Order Management
I'd like to know when my order 93216994 will arrive.,Order Management
ช่วยติดตามออเดอร์หมายเลข 00051227 ให้หน่อยค่ะ,Order Management
I want to check the status of my order #OD70192785.,Order Management
อยากรู้สถานะของคำสั่งซื้อ 69257495,Order Management
I want to check the status of my order #36975902.,Order Management
